Kota,Kecamatan,Kepadatan
Surabaya,Karang Pilang,8041
Surabaya,Jambangan,13222
Surabaya,Gayungan,7444
Surabaya,Wonocolo,12256
Surabaya,Tenggilis Mejoyo,10143
Surabaya,Gunung Anyar,6142
Surabaya,Rungkut,5397
Surabaya,Sukolilo,3845
Surabaya,Mulyorejo,5079
Surabaya,Gubeng,16757
Surabaya,Wonokromo,18591
Surabaya,Dukuh Pakis,5784
Surabaya,Wiyung,6179
Surabaya,Lakarsantri,3440
Surabaya,Sambikerep,4023
Surabaya,Tandes,9234
Surabaya,Suko Manunggal,11237
Surabaya,Sawahan,27648
Surabaya,Tegalsari,22624
Surabaya,Genteng,14339
Surabaya,Tambaksari,25309
Surabaya,Kenjeran,21774
Surabaya,Bulak,7667
Surabaya,Simokerto,35271
Surabaya,Semampir,20254
Surabaya,Pabean Cantian,13491
Surabaya,Bubutan,24860
Surabaya,Krembangan,13357
Surabaya,Asemrowo,3245
Surabaya,Benowo,2813
Surabaya,Pakal,3474
Semarang,Mijen,1591
Semarang,Gunung Pati,1729
Semarang,Banyumanik,4823
Semarang,Gajah Mungkur,6031
Semarang,Semarang Selatan,10457
Semarang,Candisari,11820
Semarang,Tembalang,5038
Semarang,Pedurungan,9310
Semarang,Genuk,5099
Semarang,Gayamsari,11320
Semarang,Semarang Timur,12262
Semarang,Semarang Utara,10348
Semarang,Semarang Tengah,10672
Semarang,Semarang Barat,6889
Semarang,Tugu,1202
Semarang,Ngaliyan,3385
Jakarta,Jagakarsa,15416
Jakarta,Pasar Minggu,14028
Jakarta,Cilandak,11101
Jakarta,Pesanggrahan,19348
Jakarta,Kebayoran Lama,18453
Jakarta,Kebayoran Baru,10794
Jakarta,Mampang Prapatan,18805
Jakarta,Pancoran,19764
Jakarta,Tebet,24498
Jakarta,Setiabudi,12138
Jakarta,Kembangan,12972
Jakarta,Kebon Jeruk,20502
Jakarta,Palmerah,31287
Jakarta,Grogol Petamburan,23900
Jakarta,Tambora,49972
Jakarta,Taman Sari,16537
Jakarta,Cengkareng,22234
Jakarta,Kalideres,15361
Jakarta,Tanah Abang,18654
Jakarta,Gambir,12639
Jakarta,Kemayoran,35303
Jakarta,Menteng,13487
Jakarta,Sawah Besar,20506
Jakarta,Cempaka Putih,41478
Jakarta,Senen,29480
Jakarta,Johar Baru,29955
Jakarta,Penjaringan,6927
Jakarta,Pademangan,13758
Jakarta,Tanjung Priok,17916
Jakarta,Koja,27566
Jakarta,Kelapa Gading,9249
Jakarta,Cilincing,10991
Jakarta,Pasar Rebo,17364
Jakarta,Ciracas,18863
Jakarta,Cipayung,10398
Jakarta,Makasar,9611
Jakarta,Kramat Jati,23175
Jakarta,Jatinegara,29901
Jakarta,Duren Sawit,18421
Jakarta,Cakung,13381
Jakarta,Pulo Gadung,18119
Jakarta,Matraman,36017
